exam_name,problem_no,answer
2015 AIME I,1,722
2015 AIME I,2,139
2015 AIME I,3,307
2015 AIME I,4,507
2015 AIME I,5,341
2015 AIME I,6,058
2015 AIME I,7,539
2015 AIME I,8,695
2015 AIME I,9,494
2015 AIME I,10,072
2015 AIME I,11,108
2015 AIME I,12,431
2015 AIME I,13,091
2015 AIME I,14,483
2015 AIME I,15,053
2015 AIME II,1,131
2015 AIME II,2,025
2015 AIME II,3,476
2015 AIME II,4,018
2015 AIME II,5,090
2015 AIME II,6,440
2015 AIME II,7,161
2015 AIME II,8,036
2015 AIME II,9,384
2015 AIME II,10,486
2015 AIME II,11,023
2015 AIME II,12,548
2015 AIME II,13,628
2015 AIME II,14,089
2015 AIME II,15,129
2016 AIME I,1,336
2016 AIME I,2,071
2016 AIME I,3,810
2016 AIME I,4,108
2016 AIME I,5,053
2016 AIME I,6,013
2016 AIME I,7,103
2016 AIME I,8,162
2016 AIME I,9,744
2016 AIME I,10,504
2016 AIME I,11,109
2016 AIME I,12,132
2016 AIME I,13,273
2016 AIME I,14,574
2016 AIME I,15,270
2016 AIME II,1,108
2016 AIME II,2,107
2016 AIME II,3,265
2016 AIME II,4,180
2016 AIME II,5,182
2016 AIME II,6,275
2016 AIME II,7,840
2016 AIME II,8,728
2016 AIME II,9,262
2016 AIME II,10,043
2016 AIME II,11,749
2016 AIME II,12,732
2016 AIME II,13,371
2016 AIME II,14,450
2016 AIME II,15,863
2017 AIME I,1,390
2017 AIME I,2,062
2017 AIME I,3,069
2017 AIME I,4,803
2017 AIME I,5,321
2017 AIME I,6,048
2017 AIME I,7,564
2017 AIME I,8,041
2017 AIME I,9,045
2017 AIME I,10,056
2017 AIME I,11,360
2017 AIME I,12,252
2017 AIME I,13,059
2017 AIME I,14,896
2017 AIME I,15,145
2017 AIME II,1,196
2017 AIME II,2,781
2017 AIME II,3,409
2017 AIME II,4,222
2017 AIME II,5,791
2017 AIME II,6,195
2017 AIME II,7,501
2017 AIME II,8,134
2017 AIME II,9,013
2017 AIME II,10,546
2017 AIME II,11,544
2017 AIME II,12,110
2017 AIME II,13,245
2017 AIME II,14,168
2017 AIME II,15,682
2018 AIME I,1,600
2018 AIME I,2,925
2018 AIME I,3,157
2018 AIME I,4,289
2018 AIME I,5,189
2018 AIME I,6,440
2018 AIME I,7,052
2018 AIME I,8,147
2018 AIME I,9,210
2018 AIME I,10,004
2018 AIME I,11,195
2018 AIME I,12,683
2018 AIME I,13,126
2018 AIME I,14,351
2018 AIME I,15,059
2018 AIME II,1,800
2018 AIME II,2,112
2018 AIME II,3,371
2018 AIME II,4,023
2018 AIME II,5,074
2018 AIME II,6,037
2018 AIME II,7,020
2018 AIME II,8,556
2018 AIME II,9,184
2018 AIME II,10,756
2018 AIME II,11,461
2018 AIME II,12,112
2018 AIME II,13,647
2018 AIME II,14,227
2018 AIME II,15,185
2019 AIME I,1,342
2019 AIME I,2,029
2019 AIME I,3,120
2019 AIME I,4,122
2019 AIME I,5,252
2019 AIME I,6,090
2019 AIME I,7,880
2019 AIME I,8,067
2019 AIME I,9,540
2019 AIME I,10,352
2019 AIME I,11,020
2019 AIME I,12,230
2019 AIME I,13,032
2019 AIME I,14,097
2019 AIME I,15,065
2019 AIME II,1,059
2019 AIME II,2,107
2019 AIME II,3,096
2019 AIME II,4,187
2019 AIME II,5,520
2019 AIME II,6,216
2019 AIME II,7,715
2019 AIME II,8,053
2019 AIME II,9,472
2019 AIME II,10,547
2019 AIME II,11,011
2019 AIME II,12,047
2019 AIME II,13,504
2019 AIME II,14,071
2019 AIME II,15,574
2020 AIME I,1,547
2020 AIME I,2,017
2020 AIME I,3,621
2020 AIME I,4,093
2020 AIME I,5,052
2020 AIME I,6,173
2020 AIME I,7,081
2020 AIME I,8,103
2020 AIME I,9,077
2020 AIME I,10,407
2020 AIME I,11,510
2020 AIME I,12,270
2020 AIME I,13,036
2020 AIME I,14,085
2020 AIME I,15,058
2020 AIME II,1,231
2020 AIME II,2,171
2020 AIME II,3,103
2020 AIME II,4,108
2020 AIME II,5,151
2020 AIME II,6,626
2020 AIME II,7,298
2020 AIME II,8,101
2020 AIME II,9,090
2020 AIME II,10,239
2020 AIME II,11,071
2020 AIME II,12,248
2020 AIME II,13,060
2020 AIME II,14,010
2020 AIME II,15,717
2021 AIME I,1,097
2021 AIME I,2,109
2021 AIME I,3,050
2021 AIME I,4,331
2021 AIME I,5,031
2021 AIME I,6,192
2021 AIME I,7,063
2021 AIME I,8,057
2021 AIME I,9,567
2021 AIME I,10,059
2021 AIME I,11,301
2021 AIME I,12,019
2021 AIME I,13,672
2021 AIME I,14,125
2021 AIME I,15,285
2021 AIME II,1,550
2021 AIME II,2,336
2021 AIME II,3,080
2021 AIME II,4,330
2021 AIME II,5,736
2021 AIME II,6,454
2021 AIME II,7,145
2021 AIME II,8,049
2021 AIME II,9,295
2021 AIME II,10,335
2021 AIME II,11,258
2021 AIME II,12,047
2021 AIME II,13,797
2021 AIME II,14,592
2021 AIME II,15,258
2022 AIME I,1,116
2022 AIME I,2,227
2022 AIME I,3,242
2022 AIME I,4,834
2022 AIME I,5,550
2022 AIME I,6,228
2022 AIME I,7,289
2022 AIME I,8,378
2022 AIME I,9,247
2022 AIME I,10,756
2022 AIME I,11,150
2022 AIME I,12,245
2022 AIME I,13,392
2022 AIME I,14,459
2022 AIME I,15,033
2022 AIME II,1,154
2022 AIME II,2,125
2022 AIME II,3,021
2022 AIME II,4,112
2022 AIME II,5,072
2022 AIME II,6,841
2022 AIME II,7,192
2022 AIME II,8,080/081
2022 AIME II,9,244
2022 AIME II,10,004
2022 AIME II,11,180
2022 AIME II,12,023
2022 AIME II,13,220
2022 AIME II,14,188
2022 AIME II,15,140
2023 AIME I,1,191
2023 AIME I,2,881
2023 AIME I,3,607
2023 AIME I,4,012
2023 AIME I,5,106
2023 AIME I,6,051
2023 AIME I,7,049
2023 AIME I,8,125
2023 AIME I,9,738
2023 AIME I,10,944
2023 AIME I,11,235
2023 AIME I,12,075
2023 AIME I,13,125
2023 AIME I,14,608
2023 AIME I,15,349
2023 AIME II,1,220
2023 AIME II,2,585
2023 AIME II,3,250
2023 AIME II,4,273
2023 AIME II,5,719
2023 AIME II,6,035
2023 AIME II,7,928
2023 AIME II,8,024
2023 AIME II,9,033
2023 AIME II,10,144
2023 AIME II,11,081
2023 AIME II,12,247
2023 AIME II,13,167
2023 AIME II,14,751
2023 AIME II,15,363
2024 AIME I,1,204
2024 AIME I,2,025
2024 AIME I,3,809
2024 AIME I,4,116
2024 AIME I,5,104
2024 AIME I,6,294
2024 AIME I,7,540
2024 AIME I,8,197
2024 AIME I,9,480
2024 AIME I,10,113
2024 AIME I,11,371
2024 AIME I,12,385
2024 AIME I,13,110
2024 AIME I,14,104
2024 AIME I,15,721
2024 AIME II,1,073
2024 AIME II,2,236
2024 AIME II,3,045
2024 AIME II,4,033
2024 AIME II,5,080
2024 AIME II,6,055
2024 AIME II,7,699
2024 AIME II,8,127
2024 AIME II,9,902
2024 AIME II,10,468
2024 AIME II,11,601
2024 AIME II,12,023
2024 AIME II,13,321
2024 AIME II,14,211
2024 AIME II,15,315
2025 AIME I,1,070
2025 AIME I,2,588
2025 AIME I,3,016
2025 AIME I,4,117
2025 AIME I,5,279
2025 AIME I,6,504
2025 AIME I,7,821
2025 AIME I,8,077
2025 AIME I,9,062
2025 AIME I,10,081
2025 AIME I,11,259
2025 AIME I,12,510
2025 AIME I,13,204
2025 AIME I,14,060
2025 AIME I,15,735
2025 AIME II,1,468
2025 AIME II,2,049
2025 AIME II,3,082
2025 AIME II,4,106
2025 AIME II,5,336
2025 AIME II,6,293
2025 AIME II,7,237
2025 AIME II,8,610
2025 AIME II,9,149
2025 AIME II,10,907
2025 AIME II,11,113
2025 AIME II,12,019
2025 AIME II,13,248
2025 AIME II,14,104
2025 AIME II,15,240
2026 AIME I,1,277
2026 AIME I,2,062
2026 AIME I,3,079
2026 AIME I,4,070
2026 AIME I,5,065
2026 AIME I,6,441
2026 AIME I,7,396
2026 AIME I,8,244
2026 AIME I,9,029
2026 AIME I,10,156
2026 AIME I,11,896
2026 AIME I,12,161
2026 AIME I,13,039
2026 AIME I,14,681
2026 AIME I,15,083
2026 AIME II,1,196
2026 AIME II,2,243
2026 AIME II,3,503
2026 AIME II,4,279
2026 AIME II,5,190
2026 AIME II,6,050
2026 AIME II,7,754
2026 AIME II,8,245
2026 AIME II,9,669
2026 AIME II,10,340
2026 AIME II,11,132
2026 AIME II,12,223
2026 AIME II,13,107
2026 AIME II,14,157
2026 AIME II,15,393
