i,exam_name,status,file,url
0,2015 AIME I,ok_selenium,data/raw/html\2015_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2015_AIME_I_Answer_Key
1,2015 AIME II,ok_selenium,data/raw/html\2015_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2015_AIME_II_Answer_Key
2,2016 AIME I,ok_selenium,data/raw/html\2016_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2016_AIME_I_Answer_Key
3,2016 AIME II,ok_selenium,data/raw/html\2016_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2016_AIME_II_Answer_Key
4,2017 AIME I,ok_selenium,data/raw/html\2017_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2017_AIME_I_Answer_Key
5,2017 AIME II,ok_selenium,data/raw/html\2017_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2017_AIME_II_Answer_Key
6,2018 AIME I,ok_selenium,data/raw/html\2018_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2018_AIME_I_Answer_Key
7,2018 AIME II,ok_selenium,data/raw/html\2018_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2018_AIME_II_Answer_Key
8,2019 AIME I,ok_selenium,data/raw/html\2019_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2019_AIME_I_Answer_Key
9,2019 AIME II,ok_selenium,data/raw/html\2019_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2019_AIME_II_Answer_Key
10,2020 AIME I,ok_selenium,data/raw/html\2020_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2020_AIME_I_Answer_Key
11,2020 AIME II,ok_selenium,data/raw/html\2020_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2020_AIME_II_Answer_Key
12,2021 AIME I,ok_selenium,data/raw/html\2021_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2021_AIME_I_Answer_Key
13,2021 AIME II,ok_selenium,data/raw/html\2021_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2021_AIME_II_Answer_Key
14,2022 AIME I,ok_selenium,data/raw/html\2022_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Answer_Key
15,2022 AIME II,ok_selenium,data/raw/html\2022_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2022_AIME_II_Answer_Key
0,2015 AIME I,exists_after_retry,data/raw/html\2015_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2015_AIME_I_Answer_Key
1,2015 AIME II,exists_after_retry,data/raw/html\2015_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2015_AIME_II_Answer_Key
2,2016 AIME I,exists_after_retry,data/raw/html\2016_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2016_AIME_I_Answer_Key
3,2016 AIME II,exists_after_retry,data/raw/html\2016_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2016_AIME_II_Answer_Key
4,2017 AIME I,exists_after_retry,data/raw/html\2017_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2017_AIME_I_Answer_Key
5,2017 AIME II,exists_after_retry,data/raw/html\2017_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2017_AIME_II_Answer_Key
6,2018 AIME I,exists_after_retry,data/raw/html\2018_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2018_AIME_I_Answer_Key
7,2018 AIME II,exists_after_retry,data/raw/html\2018_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2018_AIME_II_Answer_Key
8,2019 AIME I,exists_after_retry,data/raw/html\2019_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2019_AIME_I_Answer_Key
9,2019 AIME II,exists_after_retry,data/raw/html\2019_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2019_AIME_II_Answer_Key
10,2020 AIME I,exists_after_retry,data/raw/html\2020_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2020_AIME_I_Answer_Key
11,2020 AIME II,exists_after_retry,data/raw/html\2020_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2020_AIME_II_Answer_Key
12,2021 AIME I,exists_after_retry,data/raw/html\2021_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2021_AIME_I_Answer_Key
13,2021 AIME II,exists_after_retry,data/raw/html\2021_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2021_AIME_II_Answer_Key
14,2022 AIME I,exists_after_retry,data/raw/html\2022_AIME_I_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Answer_Key
15,2022 AIME II,exists_after_retry,data/raw/html\2022_AIME_II_answer_key.html,https://artofproblemsolving.com/wiki/index.php/2022_AIME_II_Answer_Key
