i,problem_title,url,status,file,prev_status
0,2021 AIME I Problem 1,,exists,data/raw/html\2021_AIME_I_Problem_1.html,
1,2025 AIME I Problem 1,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_1,http_403,,
2,2025 AIME I Problem 2,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_2,http_403,,
3,2025 AIME I Problem 3,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_3,http_403,,
4,2025 AIME I Problem 4,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_4,http_403,,
5,2025 AIME I Problem 5,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_5,http_403,,
6,2025 AIME I Problem 6,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_6,http_403,,
7,2025 AIME I Problem 7,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_7,http_403,,
8,2025 AIME I Problem 8,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_8,http_403,,
9,2025 AIME I Problem 9,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_9,http_403,,
10,2025 AIME I Problem 10,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_10,http_403,,
11,2025 AIME I Problem 11,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_11,http_403,,
12,2025 AIME I Problem 12,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_12,http_403,,
13,2025 AIME I Problem 13,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_13,http_403,,
14,2025 AIME I Problem 14,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_14,http_403,,
15,2025 AIME I Problem 15,https://artofproblemsolving.com/wiki/index.php/2025_AIME_I_Problems/Problem_15,http_403,,
16,2015 AIME I Problem 1,https://artofproblemsolving.com/wiki/index.php/2015_AIME_I_Problems/Problem_1,http_403,,
17,2015 AIME I Problem 2,https://artofproblemsolving.com/wiki/index.php/2015_AIME_I_Problems/Problem_2,http_403,,
